# BEADS_RUST conformance cases: name<TAB>argv (JSON string array)
# Every case runs in the ws-run sandbox (scripts/ws-run.sh --help): a fresh workspace at /mnt/proj, a pinned
# instant, a cleared environment. Leading pseudo-arguments select the inputs:
#   @fx=<name>    goldens/fixtures/<name>.jsonl becomes .beads/issues.jsonl (default: empty; `none` = no .beads at all)
#   @time=<UTC>   the pinned instant (default 2026-01-02 03:04:05)
#   @scn=<name>   a multi-step scenario, goldens/scenarios/<name>.scn
# When a run changes the store, `--- .beads/issues.jsonl ---` (and last-touched) follow the command's stdout.
# Capture:  scripts/golden-capture.sh goldens/cases.tsv goldens --timeout 60 -- scripts/ws-run.sh --oracle br --no-db ::
# Floor:    scripts/floor.sh goldens/cases.tsv goldens --repeat 3 -- scripts/ws-run.sh --oracle br --no-db ::
# Check:    LANE_WRAP=scripts/ws-run.sh scripts/lanes.sh goldens/cases.tsv goldens "$PWD/port/main.bend"
usage_none	[]
usage_unknown_cmd	["frobnicate"]
usage_unknown_flag	["--no-such-flag"]
usage_empty_arg	[""]
usage_json_twice	["list", "--json", "--json"]
usage_limit_noval	["list", "--limit"]
usage_limit_bad	["list", "--limit", "x"]
usage_unexpected_flag	["show", "--priority", "1"]
usage_dep_alone	["dep"]
usage_label_alone	["label"]
usage_epic_alone	["epic"]
usage_search_alone	["search"]
usage_show_alone	["show"]
usage_close_alone	["close"]
usage_update_alone	["update"]
usage_delete_alone	["delete"]
usage_dep_add_one_arg	["dep", "add", "proj-mta"]
error_no_workspace_list	["@fx=none", "list"]
error_no_workspace_list_json	["@fx=none", "list", "--json"]
error_no_workspace_create	["@fx=none", "create", "X"]
empty_list	["list"]
empty_list_json	["list", "--json"]
empty_ready	["ready"]
empty_ready_json	["ready", "--json"]
empty_blocked	["blocked"]
empty_blocked_json	["blocked", "--json"]
empty_stats	["stats"]
empty_stats_json	["stats", "--json"]
empty_count	["count"]
empty_search	["search", "anything"]
empty_dep_cycles	["dep", "cycles"]
where_plain	["@fx=basic", "where"]
where_json	["@fx=basic", "where", "--json"]
list_plain	["@fx=basic", "list"]
list_json	["@fx=basic", "list", "--json"]
list_json_again	["@fx=basic", "list", "--json"]
list_all	["@fx=basic", "list", "--all"]
list_all_json	["@fx=basic", "list", "--all", "--json"]
list_status_open	["@fx=basic", "list", "--status", "open", "--json"]
list_status_closed	["@fx=basic", "list", "--status", "closed", "--json"]
list_status_in_progress	["@fx=basic", "list", "-s", "in_progress"]
list_type_bug	["@fx=basic", "list", "-t", "bug", "--json"]
list_priority_one	["@fx=basic", "list", "-p", "1", "--json"]
list_priority_min_max	["@fx=basic", "list", "--priority-min", "1", "--priority-max", "3", "--json"]
list_assignee	["@fx=basic", "list", "--assignee", "alice", "--json"]
list_unassigned	["@fx=basic", "list", "--unassigned"]
list_label	["@fx=basic", "list", "-l", "backend", "--json"]
list_label_two_and	["@fx=basic", "list", "-l", "backend", "-l", "auth"]
list_label_any	["@fx=basic", "list", "--label-any", "db", "--label-any", "auth"]
list_title_contains	["@fx=basic", "list", "--title-contains", "auth"]
list_limit_one	["@fx=basic", "list", "--limit", "1", "--json"]
list_limit_offset	["@fx=basic", "list", "--limit", "2", "--offset", "1", "--json"]
list_sort_title	["@fx=basic", "list", "--sort", "title"]
list_sort_created	["@fx=basic", "list", "--sort", "created_at"]
list_sort_updated	["@fx=basic", "list", "--sort", "updated_at"]
list_sort_bad	["@fx=basic", "list", "--sort", "nonsense"]
list_reverse	["@fx=basic", "list", "-r"]
list_deferred	["@fx=basic", "list", "--deferred"]
list_long	["@fx=basic", "list", "--long"]
list_fields	["@fx=basic", "list", "--json", "--fields", "id,title,status,priority"]
list_quiet	["@fx=basic", "list", "--quiet"]
list_id_filter	["@fx=basic", "list", "--id", "proj-mta", "--json"]
list_status_bad	["@fx=basic", "list", "--status", "bogus"]
ready_plain	["@fx=basic", "ready"]
ready_json	["@fx=basic", "ready", "--json"]
ready_limit	["@fx=basic", "ready", "--limit", "1"]
ready_sort_priority	["@fx=basic", "ready", "--sort", "priority"]
ready_sort_oldest	["@fx=basic", "ready", "--sort", "oldest"]
ready_include_deferred	["@fx=basic", "ready", "--include-deferred", "--json"]
ready_type	["@fx=basic", "ready", "-t", "task"]
ready_unassigned	["@fx=basic", "ready", "--unassigned"]
ready_label	["@fx=basic", "ready", "-l", "db", "--json"]
blocked_plain	["@fx=basic", "blocked"]
blocked_json	["@fx=basic", "blocked", "--json"]
show_plain	["@fx=basic", "show", "proj-170"]
show_json	["@fx=basic", "show", "proj-170", "--json"]
show_comments	["@fx=basic", "show", "proj-ptp"]
show_comments_json	["@fx=basic", "show", "proj-ptp", "--json"]
show_closed	["@fx=basic", "show", "proj-mkh"]
show_deferred_json	["@fx=basic", "show", "proj-7vm", "--json"]
show_unicode	["@fx=basic", "show", "proj-b75"]
show_unicode_json	["@fx=basic", "show", "proj-b75", "--json"]
show_epic	["@fx=basic", "show", "proj-uly"]
show_two	["@fx=basic", "show", "proj-mta", "proj-5u2"]
show_partial_hash	["@fx=basic", "show", "mta"]
show_partial_ambiguous	["@fx=basic", "show", "m"]
error_show_missing	["@fx=basic", "show", "proj-zzz"]
error_show_missing_json	["@fx=basic", "show", "proj-zzz", "--json"]
search_plain	["@fx=basic", "search", "auth"]
search_json	["@fx=basic", "search", "auth", "--json"]
